apple_pie ,яблочный_пирог,"193,6","2,1","7,3",32,"2,7",red
eggs_benedict,яица_бенедикт  ,321,"6,7",27,"11,8","1,0",green
 onion_rings,луковые_кольца,411,"3,9","25,2","43,6","3,6",red
baby_back_ribs            ,свинные_ребра,321,"15,2","29,3",0,"0,0",red
 escargots                     ,улитки,90,"16,1","1,4",2,"0,2",green
oysters,устрицы,119,9,13,12,"1,0",green
baklava,пахлава,448,"6,9","30,2","39,2","3,3",red
falafel ,фалафель,333,13,18,32,"2,7",green
pad_thai,пад_тай,380,15,10,57,"4,8",yellow
beef_carpaccio,карпаччо_из_говядины,99,"19,18","2,27",0,"0,0",yellow
filet_mignon,филе_миньон,267,26,17,0,"0,0",yellow
paella,паэлья с морепродуктами,143,"8,57","4,43","16,5","1,4",yellow
beef_tartare ,Тартар,416,43,19,19,"1,6",green
fish_and_chips             ,Фиш н чипс,950,30,40,90,"7,5",red
pancakes,Панкейки,79,"2,21","3,1","10,36","0,9",green
beet_ salad            ,Свекольный салат,124,"5,71","7,92","7,89","0,7",green
foie_gras                     ,Фуагра,462,11,44,"4,7","0,4",red
panna_cotta,Панакота,151,"9,5","2,4",14,"1,2",yellow
beignets  ,Оладьи,55,"1,6","1,3",9,"0,8",yellow
french_fries             ,Картофель фри,247,"3,5",14,"35,7","3,0",red
peking_duck,Утка по пекински,265,"18,7","20,6",0,"0,0",green
bibimbap ,Бибимбал,643,"24,2","20,6",0,"0,0",green
french_onion_soup             ,Французский луковый суп,23,"1,5","0,7","3,3","0,3",green
pho,куринная лапша,475,44,6,58,"4,8",green
bread_pudding            ,Хлебный пудинг,306,"10,5","9,5","46,5","3,9",yellow
french_toast             ,Французский тост,244,"8,6","9,4","30,8","2,6",green
pizza,Пицца домашняя,255,"9,4","11,3","28,6","2,4",yellow
breakfast_burrito,Бурито для завтрака,246,14,12,20,"1,7",green
fried_calamari,жареные кальмары,125,"15,1","2,2",10,"0,8",red
pork_chop,свиная отбивная,250,"27,9","14,6",0,"0,0",yellow
bruschetta,Брускетта,107,3,3,17,"1,4",green
fried_rice,жареный рис,333,"12,5","12,3","41,7","3,5",yellow
poutine,Путин,267,"7,8","15,6","31,9","2,7",red
caesar_salad,салат цезарь,142,8.7,5.9,"14,1","1,2",green
frozen_yogurt,замороженный йогурт,59,3.4,3.0,"8,5","0,7",green
prime_rib,говяжья вырезка,562,30,48,1,"0,1",green
cannoli,Канноли,150,4,7,17,"1,4",yellow
garlic_bread,чесночный хлеб,330,"7,8","12,8","45,6","3,8",green
pulled_pork_sandwich,свиннина копченная с соусом барбекью,168,13,"4,4",19,"1,6",red
caprese_salad,Капрезе,142,"8,4",11,"2,8","0,2",green
gnocchi,ньокки,133,"2,3","6,2",17,"1,4",yellow
ramen,спагетти рамен,436,10,16,63,"5,3",yellow
carrot_cake,морковный торт,415,5,10,79,"6,6",yellow
greek_salad,греческий салат,106,7,"7,3","3,4","0,3",green
ravioli,равиоли,77,285,"1,5",14,"1,2",yellow
ceviche,Рыба маринованная (севиче),173,"28,8",2,"9,2","0,8",green
grilled_cheese_sandwich,запеченный бутерброд с сыром,321,13.8,16.2,"29,6","2,5",yellow
red_velvet_cake,"Торт ""Красный бархат""",376,"4,6","21,4","42,5","3,5",red
cheesecake,чизкейк,321,6,23,26,"2,2",yellow
grilled_salmon,лосось на гриле,645,45,47,15,"1,3",green
risotto,ризотто,199,6,"5,5",35,"2,9",yellow
cheese_plate,Сырная тарелка,259,11,21,"5,6","0,5",yellow
guacamole,гуакамоле,278,"1,4",28,"6,6","0,6",green
samosa,Самса,308,"4,7","17,9","32,2","2,7",yellow
chicken_curry,куринное кари,170,"16,2","10,4","1,8","0,2",yellow
gyoza,Гёдза со Свининой,28,"2,8","21,4","4,3","0,4",yellow
sashimi,сашими,73,"12,5",5,"1,1","0,1",green
chicken_quesadilla,Кесадилья с курицей,641,"32,9","36,6","45,1","3,8",yellow
hamburger,гамбургер,295,17,14,24,"2,0",red
scallops,гребешки,217,"18,1",11,"10,5","0,9",green
chicken_wings,куринные крылышки,189,"19,2","12,2",0,"0,0",yellow
hot_and_sour_soup,Кисло-сладкий суп,39,"2,6","1,2","4,4","0,4",yellow
seaweed_salad,вакамэ,45,3,"0,6",9,"0,8",green
chocolate_cake,шоколадный кекс,356,"3,8","11,7","63,6","5,3",yellow
hot_dog,хот дог,290,10,26,"4,2","0,4",yellow
shrimp_and_grits,креветки с кукурузной кашей,179,21,24,54,"4,5",green
chocolate_mousse,шоколадный мусс,268,"6,4","15,4",24,"2,0",yellow
huevos_rancheros,Мексиканская яичница,331,"19,8","16,4","28,4","2,4",green
spaghetti_bolognese,спагетти болоньезе,191,"9,5","8,1","19,1","1,6",yellow
churros,чуррос,248,"2,8","14,9","24,2","2,0",red
hummus,хуммус,166,8,10,14,"1,2",green
spaghetti_carbonara,паста карбонара,384,"16,2","10,7","51,7","4,3",yellow
clam_chowder,Клэм-чаудер,56,3,"1,4",8,"0,7",yellow
ice_cream,мороженое,201,"3,5","10,7","24,4","2,0",yellow
spring_rolls,спринг роллы,157,"3,3",3,26,"2,2",yellow
club_sandwich,Клубный сендвич,549,31,"24,5",49,"4,1",yellow
lasagna,лазанья,135,7,"4,9",15,"1,3",yellow
steak,стейк,271,25,19,0,"0,0",yellow
crab_cakes,крабовый торт,266,19,17,9,"0,8",yellow
lobster_bisque,биск из лобстера,251,20,13,13,"1,1",green
strawberry_shortcake,клубничное бисквитное пироженное,346,6,14,49,"4,1",yellow
creme_brulee,Крем-брюле,144,"3,8","2,4","20,6","1,7",yellow
lobster_roll_sandwich,сэндвич с лобстером,244,"12,7",11,"23,7","2,0",yellow
sushi,суши,143,"4,3","0,4","29,9","2,5",yellow
croque_madame,Крок-месье,1179,"39,9","51,7","142,2","11,9",yellow
macaroni_and_cheese,Макароны с сыром,164,7,5,23,"1,9",yellow
tacos,Тако,226,9,13,20,"1,7",yellow
cup_cakes,Капкейк (кекс),305,"4,3","3,7",67,"5,6",yellow
macarons,Печенье макарон,"386,6","6,1","17,2","52,3","4,4",yellow
takoyaki,Такояки,93,10,1,12,"1,0",red
miso_soup,Мисо суп,19,"1,2","0,4","2,8","0,2",yellow
tiramisu,Тирамису,283,"4,8","18,2","24,4","2,0",yellow
donuts,Пончик,452,"4,9",25,51,"4,3",red
mussels,Мидия,172,24,"4,5",7,"0,6",green
dumplings,Манты,59,"3,2","2,7","5,2","0,4",yellow
nachos,Начос,306,8,17,32,"2,7",yellow
waffles,Вафли,291,8,14,33,"2,8",yellow
edamame,Эдамамэ,122,11,5,10,"0,8",green
omelette,Омлет,154,11,12,"0,6","0,1",green